marque,modele,prix,annee,kilometrage,energie,nombre chevaux,code postal,latitude,longitude,ville,région
Renault,Clio,14990,2021,44368,essence,145,50000.0,49.113843,-1.080182,Saint-Lô,Normandie
Renault,Clio,12990,2023,14472,essence,90,77120.0,48.813852,3.091044,Coulommiers,Île-de-France
Renault,Megane,23990,2024,4207,Diesel,115,69009.0,45.783352,4.811355,Lyon 9e Arrondissement,
Citroën,C4 X,18778,2022,33530,essence,100,11100.0,43.163861,3.051546,Narbonne,Occitanie
Renault,Clio,19990,2021,58435,Diesel,145,78190.0,48.778249,1.993009,Trappes,Île-de-France
Renault,Captur,22350,2020,97562,Diesel,115,83170.0,43.396543,6.070997,Brignoles,Provence-Alpes-Côte d'Azur
Peugeot,e-2008,19290,2022,16120,essence,136,,47.505522,0.820921,Monnaie,Centre-Val de Loire
Peugeot,e-2008,35340,2021,58608,essence,136,,47.505522,0.820921,Monnaie,Centre-Val de Loire
Renault,Megane,22990,2023,43146,Diesel,115,21400.0,47.863953,4.584361,Châtillon-sur-Seine,Bourgogne-Franche-Comté
Renault,Megane,28750,2024,17500,essence,115,69140.0,45.818387,4.892817,Rillieux-la-Pape,Auvergne-Rhône-Alpes
Peugeot,e-2008,17990,2020,93222,essence,136,,47.505522,0.820921,Monnaie,Centre-Val de Loire
Renault,Captur,23690,2024,18295,essence,145,83500.0,43.093147,5.879651,La Seyne-sur-Mer,Provence-Alpes-Côte d'Azur
Mercedes-Benz,Classe A,26989,2019,97366,essence,200,68390.0,47.783364,7.378135,Sausheim,Grand Est
Toyota,Yaris,16990,2021,68017,essence,116,3110.0,,,,
Renault,Captur,20990,2023,18365,essence,140,13008.0,43.247182,5.374045,Marseille 8e Arrondissement,
Renault,Clio,16290,2023,20919,essence,130,63170.0,45.752526,3.125785,Aubière,Auvergne-Rhône-Alpes
Peugeot,e-2008,19360,2021,77013,essence,136,,47.505522,0.820921,Monnaie,Centre-Val de Loire
Renault,Captur,27490,2023,24155,essence,140,69140.0,45.818387,4.892817,Rillieux-la-Pape,Auvergne-Rhône-Alpes
Renault,Clio,10980,2022,55987,essence,140,57070.0,49.136824,6.204782,Saint-Julien-lès-Metz,Grand Est
Mercedes-Benz,GLA,21990,2023,24805,essence,250,54520.0,48.688106,6.141298,Laxou,Grand Est
Peugeot,e-2008,38200,2024,2272,essence,136,13920.0,43.453017,5.018587,Saint-Mitre-les-Remparts,Provence-Alpes-Côte d'Azur
Renault,Captur,23490,2023,13969,essence,145,83160.0,43.143841,5.990889,La Valette-du-Var,Provence-Alpes-Côte d'Azur
Renault,Clio,20990,2022,40591,essence,90,86100.0,46.8162,0.551,Châtellerault,Nouvelle-Aquitaine
Renault,Clio,18980,2023,45942,essence,145,21400.0,47.863953,4.584361,Châtillon-sur-Seine,Bourgogne-Franche-Comté
Renault,Clio,23925,2023,12671,essence,145,64500.0,43.391942,-1.633128,Saint-Jean-de-Luz,Nouvelle-Aquitaine
Renault,Captur,59290,2020,61707,essence,160,64100.0,43.488544,-1.466564,Bayonne,Nouvelle-Aquitaine
Nissan,Qashqai,24990,2023,21000,essence,190,49000.0,47.467471,-0.561615,Angers,Pays de la Loire
Renault,Megane E Tech,16298,2022,45550,essence,160,65000.0,43.239085,0.065776,Tarbes,Occitanie
Renault,Clio,14590,2021,78915,essence,145,47000.0,44.202304,0.631041,Agen,Nouvelle-Aquitaine
Renault,Megane,24590,2024,7739,essence,140,69200.0,45.707095,4.881379,Vénissieux,Auvergne-Rhône-Alpes
Renault,Clio,35550,2021,26480,hybride,145,35400.0,48.642082,-1.988626,Saint-Malo,Bretagne
Renault,Captur,19990,2023,21455,hybride,160,2400.0,,,,
Renault,Megane,22890,2025,10,essence,115,18230.0,47.108769,2.363377,Saint-Doulchard,Centre-Val de Loire
Renault,Megane,18490,2025,5,essence,115,42000.0,45.430195,4.370045,Saint-Étienne,Auvergne-Rhône-Alpes
Peugeot,e-2008,19490,2023,42146,essence,136,69200.0,45.707095,4.881379,Vénissieux,Auvergne-Rhône-Alpes
Peugeot,e-2008,18990,2024,15120,Diesel,136,,47.505522,0.820921,Monnaie,Centre-Val de Loire
Renault,Megane,31890,2024,10714,Diesel,115,64100.0,43.488544,-1.466564,Bayonne,Nouvelle-Aquitaine
Peugeot,e-2008,25590,2020,67581,essence,136,,47.505522,0.820921,Monnaie,Centre-Val de Loire
Volkswagen,e-Golf,19990,2021,26500,essence,136,,47.505522,0.820921,Monnaie,Centre-Val de Loire
Peugeot,2008,22790,2022,38200,essence,130,67700.0,48.739971,7.369851,Saverne,Grand Est
Dacia,Sandero,9950,2022,33381,essence,90,94260.0,48.757544,2.324537,Fresnes,Bourgogne-Franche-Comté
Renault,Arkana,23999,2022,29266,essence,145,92400.0,48.897974,2.257057,Courbevoie,Île-de-France
Renault,Captur,18490,2021,52072,essence,160,41200.0,47.363293,1.7449,Romorantin-Lanthenay,Centre-Val de Loire
Renault,Megane,16900,2024,12800,Diesel,115,69400.0,45.985089,4.724382,Villefranche-sur-Saône,Auvergne-Rhône-Alpes
Peugeot,e-2008,19400,2022,123209,Diesel,136,,47.505522,0.820921,Monnaie,Centre-Val de Loire
Renault,Clio,27500,2025,100,hybride,145,89100.0,48.191828,3.292827,Sens,Bourgogne-Franche-Comté
Citroën,C3,43750,2023,31594,essence,113,14100.0,49.145761,0.242246,Lisieux,Normandie
Renault,Clio,34950,2024,25417,essence,90,77186.0,48.847293,2.623401,Noisiel,Île-de-France
Peugeot,e-2008,26389,2024,9222,essence,136,92000.0,48.898095,2.202314,Nanterre,Île-de-France
Renault,Captur,52490,2021,99230,Diesel,160,86100.0,46.8162,0.551,Châtellerault,Nouvelle-Aquitaine
Renault,Captur,25680,2024,12703,essence,145,78700.0,49.000025,2.099679,Conflans-Sainte-Honorine,Île-de-France
Peugeot,e-2008,22990,2020,43852,essence,136,83100.0,43.129342,5.968125,Toulon,Occitanie
Renault,Captur,29500,2022,30949,hybride,145,21400.0,47.863953,4.584361,Châtillon-sur-Seine,Bourgogne-Franche-Comté
Dacia,Sandero,17590,2017,73598,Diesel,90,33140.0,44.77508,-0.55453,Villenave-d'Ornon,Nouvelle-Aquitaine
