marque;modele;prix;annee;kilometrage;energie;nombre chevaux;code postal
Peugeot;2008;9990;2018;90737;essence;2008121106;89000
Peugeot;2008;13990;2021;134396;essence;20081308;78200
Peugeot;2008;15980;2021;55330;essence;20081308;78240
Peugeot;3008;14999;2022;61412;essence;1308;83300
Peugeot;2008;27480;2021;137039;essence;1308;59300
Peugeot;2008;24990;2024;10883;essence;1106;92240
Volkswagen;Tiguan;16990;2023;52160;essence;151507;91940
Peugeot;3008;24790;2021;51883;essence;1808;69400
Peugeot;3008;14790;2020;129006;essence;121308;68110
Peugeot;3008;22990;2022;32045;essence;2258;67800
Dacia;Duster;21790;2023;34073;hybride;15042;93500
Dacia;Duster;14990;2024;6490;essence;15042;71000
Renault;Captur;28289;2022;12345;essence;150;13011
Audi;Q2;20990;2020;48258;essence;351507;69140
Audi;Q3;54900;2025;9500;essence;351507;78140
Audi;Q3;37990;2021;41672;essence;351507;01170
Renault;Captur;24390;2020;149764;essence;160;75014
Renault;Captur;23990;2023;21670;essence;145;41000
Renault;Captur;20490;2020;50206;essence;13160;44190
Peugeot;3008;15990;2022;38962;essence;121308;67500
Renault;Captur;23990;2023;10437;essence;160;86440
Renault;Captur;19790;2023;22703;essence;160;91170
Renault;Captur;20690;2023;32568;essence;160;83170
Renault;Captur;19990;2023;45821;essence;140;37170
Renault;Captur;21990;2019;87458;essence;140;37170
Renault;Captur;20990;2023;30189;essence;160;41250
Peugeot;2008;16999;2019;58777;essence;1106;28400
Renault;Captur;20990;2023;28096;essence;14021;76600
Renault;Captur;27490;2023;24155;essence;140;69140
Renault;Arkana;20990;2023;35138;essence;1314022;44400
Renault;Captur;17980;2021;66885;essence;150;64000
Renault;Captur;19999;2024;6829;essence;140;13008
Renault;Captur;16990;2023;46831;essence;140;78700
Renault;Captur;21999;2023;16743;essence;14021;06800
Peugeot;2008;22390;2020;46341;essence;20081308;78130
Peugeot;2008;17790;2021;15542;essence;1308;92240
Peugeot;2008;24490;2023;24405;essence;1308;72400
Peugeot;3008;21990;2017;46824;essence;1213068;62700
Renault;Arkana;16990;2023;52123;essence;1314022;44400
Renault;Captur;21990;2023;25021;essence;14021;78000
Peugeot;3008;24000;2021;47078;Diesel;1308;14800
Peugeot;2008;28790;2024;10000;essence;1366;89000
Peugeot;3008;17290;2018;75041;essence;121306;78000
Peugeot;2008;14790;2018;86790;essence;1308;92380
Peugeot;3008;24000;2017;101212;essence;121306;92000
Peugeot;3008;24490;2021;25746;essence;1308;71880
Renault;Captur;18990;2022;27317;essence;120;06110
Renault;Captur;17490;2024;8854;essence;160;52200
Peugeot;2008;21900;2023;18202;essence;1308;28400
Dacia;Duster;22990;2022;8803;essence;1315042;44190
Peugeot;2008;12390;2020;76309;essence;121106;59160
Renault;Captur;22990;2021;77948;essence;16021;91200
Peugeot;2008;19990;2023;10437;essence;1558;50200
Peugeot;3008;39590;2021;50365;essence;1456;35133
Renault;Captur;21790;2020;27015;essence;140;69140
Volkswagen;T-Roc;24000;2019;101157;essence;151507;06800
Peugeot;3008;23990;2021;40052;essence;1308;91300
Mercedes-Benz;GLA;24000;2020;42031;essence;18012276;44400
Renault;Captur;22490;2017;115194;essence;160;10200
Peugeot;2008;22480;2023;18820;essence;1308;14110
Peugeot;2008;22990;2020;21063;essence;1213087;68110
Peugeot;3008;18490;2024;13272;essence;1308;31400
Peugeot;3008;20980;2023;27500;essence;2258;59187
Peugeot;3008;25990;2021;111492;essence;43008;68110
Peugeot;2008;15390;2021;35816;essence;20081308;78240
Peugeot;3008;36990;2025;5000;essence;1366;02100
Peugeot;2008;42990;2021;18421;essence;1308;38121
Peugeot;3008;29690;2022;28586;essence;1366;22100
Renault;Captur;20990;2023;15003;essence;14021;91200
Peugeot;2008;21990;2023;40790;essence;121366;59640
Peugeot;3008;16390;2019;45174;essence;30081308;78240
